model,class,precision,recall,f1,support
BERT baseline,FAKE,0.7295285359801489,0.7188264058679706,0.7241379310344828,818
BERT baseline,REAL,0.5010845986984815,0.5144766146993318,0.5076923076923077,449
BERT V2,FAKE,0.7592867756315007,0.6246943765281173,0.6854460093896714,818
BERT V2,REAL,0.4831649831649832,0.6391982182628062,0.5503355704697986,449
LLaMA 3.2 3B zero-shot,FAKE,0.8119266055045872,0.21638141809290953,0.3416988416988417,818
LLaMA 3.2 3B zero-shot,REAL,0.38894184938036225,0.9086859688195991,0.5447263017356475,449
LLaMA 3.2 3B few-shot,FAKE,0.8571428571428571,0.007334963325183374,0.014545454545454545,818
LLaMA 3.2 3B few-shot,REAL,0.35555555555555557,0.9977728285077951,0.5242832065535401,449
