model,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,mcc
BERT baseline,0.6464088397790055,0.6166515102836512,0.6153065673393152,0.6166515102836512,0.6159151193633952,0.6485724761226361,0.6464088397790055,0.6474338387845722,0.23195417845561359
BERT V2,0.6298342541436464,0.6319462973954617,0.6212258793982419,0.6319462973954617,0.617890789929735,0.6614346171331058,0.6298342541436464,0.6375655144606873,0.25294510024989075
LLaMA 3.2 3B zero-shot,0.4617205998421468,0.5625336934562543,0.6004342274424748,0.5625336934562543,0.4432125717172446,0.6620290873516456,0.4617205998421468,0.41364779951772546,0.15849950399169632
LLaMA 3.2 3B few-shot,0.35832675611681136,0.5025538959164892,0.6063492063492063,0.5025538959164892,0.2694143305494973,0.6793901354280202,0.35832675611681136,0.1951865363541605,0.032960874006440384
